+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|   0 | minecraft:ocean                            | Ocean                                                      |    0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                    |                     |
|   1 | minecraft:plains                           | Plains                                                     |    0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                          | stronghold, village |
|   2 | minecraft:desert                           | Desert                                                     |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                 | stronghold, village |
|   3 | minecraft:extreme_hills                    | Extreme Hills                                              |    0.20 | MEDIUM   | 0.30 | false | false   | COOL, WARM | HILLS, MOUNTAIN                                 | stronghold          |
|   4 | minecraft:forest                           | Forest                                                     |    0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                          | stronghold          |
|   5 | minecraft:taiga                            | Taiga                                                      |    0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                        | stronghold, village |
|   6 | minecraft:swampland                        | Swampland                                                  |    0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                      |                     |
|   7 | minecraft:river                            | River                                                      |    0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                    |                     |
|   8 | minecraft:hell                             | Hell                                                       |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                | stronghold          |
|   9 | minecraft:sky                              | The End                                                    |    0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                  | stronghold          |
|  10 | minecraft:frozen_ocean                     | FrozenOcean                                                |    0.00 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                       |                     |
|  11 | minecraft:frozen_river                     | FrozenRiver                                                |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                       |                     |
|  12 | minecraft:ice_flats                        | Ice Plains                                                 |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                          | stronghold          |
|  13 | minecraft:ice_mountains                    | Ice Mountains                                              |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, MOUNTAIN, SNOWY                           | stronghold          |
|  14 | minecraft:mushroom_island                  | MushroomIsland                                             |    0.90 | MEDIUM   | 1.00 | false | false   |            | MUSHROOM, RARE                                  | stronghold          |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore                                        |    0.90 | MEDIUM   | 1.00 | false | false   |            | BEACH, MUSHROOM, RARE                           |                     |
|  16 | minecraft:beaches                          | Beach                                                      |    0.80 | MEDIUM   | 0.40 | false | false   |            | BEACH                                           |                     |
|  17 | minecraft:desert_hills                     | DesertHills                                                |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, SANDY                          | stronghold          |
|  18 | minecraft:forest_hills                     | ForestHills                                                |    0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS                                   | stronghold          |
|  19 | minecraft:taiga_hills                      | TaigaHills                                                 |    0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS                 | stronghold          |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge                                         |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN                                        | stronghold          |
|  21 | minecraft:jungle                           | Jungle                                                     |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                         | stronghold          |
|  22 | minecraft:jungle_hills                     | JungleHills                                                |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HILLS, HOT, JUNGLE, WET                  | stronghold          |
|  23 | minecraft:jungle_edge                      | JungleEdge                                                 |    0.95 | MEDIUM   | 0.80 | false | false   |            | FOREST, HOT, JUNGLE, RARE, WET                  | stronghold          |
|  24 | minecraft:deep_ocean                       | Deep Ocean                                                 |    0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                    |                     |
|  25 | minecraft:stone_beach                      | Stone Beach                                                |    0.20 | MEDIUM   | 0.30 | false | false   |            | BEACH                                           | stronghold          |
|  26 | minecraft:cold_beach                       | Cold Beach                                                 |    0.05 | COLD     | 0.30 |  true | false   |            | BEACH, COLD, SNOWY                              |                     |
|  27 | minecraft:birch_forest                     | Birch Forest                                               |    0.60 | MEDIUM   | 0.60 | false | false   | WARM       | FOREST                                          | stronghold          |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills                                         |    0.60 | MEDIUM   | 0.60 | false | false   |            | FOREST, HILLS                                   | stronghold          |
|  29 | minecraft:roofed_forest                    | Roofed Forest                                              |    0.70 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, SPOOKY                           | stronghold          |
|  30 | minecraft:taiga_cold                       | Cold Taiga                                                 |   -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                 | stronghold          |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills                                           |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY          | stronghold          |
|  32 | minecraft:redwood_taiga                    | Mega Taiga                                                 |    0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST                        | stronghold          |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills                                           |    0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS                 | stronghold          |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+                                             |    0.20 | MEDIUM   | 0.30 | false | false   |            | FOREST, MOUNTAIN, SPARSE                        | stronghold          |
|  35 | minecraft:savanna                          | Savanna                                                    |    1.20 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, SAVANNA, SPARSE                    | stronghold, village |
|  36 | minecraft:savanna_rock                     | Savanna Plateau                                            |    1.00 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, RARE, SAVANNA, SPARSE              | stronghold          |
|  37 | minecraft:mesa                             | Mesa                                                       |    2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY                                | stronghold          |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F                                             |    2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY, SPARSE                        | stronghold          |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau                                               |    2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY                                | stronghold          |
|  40 | jeid:error_biome                           | A mod doesn't support extended biome IDs -- report to JEID |    0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold          |
|  41 | appliedenergistics2:storage_biome          | Storage Cell                                               | -100.00 | COLD     | 0.50 | false | false   |            | COLD, PLAINS                                    | stronghold          |
|  42 | buildcraftenergy:oil_ocean                 | Ocean Oil Field                                            |    0.50 | OCEAN    | 0.50 | false | false   |            | OCEAN, WATER                                    |                     |
|  43 | buildcraftenergy:oil_desert                | Desert Oil Field                                           |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                 | stronghold          |
|  44 | thaumcraft:magical_forest                  | Magical Forest                                             |    0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                 | stronghold          |
|  45 | thaumcraft:eerie                           | Eerie                                                      |    0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                 | stronghold          |
|  46 | thaumcraft:eldritch                        | Outer Lands                                                |    0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                            | stronghold          |
|  47 | thaumicaugmentation:emptiness              | Emptiness                                                  |    0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPARSE, SPOOKY, VOID                      | spawn               |
|  48 | thaumicaugmentation:tainted_lands          | Tainted Lands                                              |    0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPOOKY, VOID                              | spawn               |
